,Entity,Total,Hindu,Muslim,Christian,Sikh,Buddhist,Jain,Other/Unclassified,Unstated
0,State - ANDHRA PRADESH,84580777,74824149,8082412,1129784,40244,36692,53849,9547,404100
1,District - Adilabad,2741239,2399901,275970,15422,1377,25510,617,322,22120
2,District - Nizamabad,2551335,2123426,391596,19653,2357,1847,542,146,11768
3,District - Karimnagar,3776269,3491139,244723,24979,2086,332,312,115,12583
4,District - Medak,3033288,2637313,342449,34301,1309,554,457,217,16688
5,District - Hyderabad,3943323,2046051,1713405,87522,11446,1268,19560,1929,62142
6,District - Rangareddy,5296741,4458858,617518,144037,8062,2041,3536,1629,61060
7,District - Mahbubnagar,4053028,3673456,334172,21345,658,290,388,267,22452
8,District - Nalgonda,3488809,3249231,188646,35025,937,241,250,132,14347
9,District - Warangal,3512576,3273755,197333,31377,1453,253,569,126,7710
10,District - Khammam,2797370,2595321,158887,33463,655,217,459,539,7829
11,District - Srikakulam,2703114,2666950,9025,18879,193,77,160,106,7724
12,District - Vizianagaram,2344474,2299129,16423,17853,380,114,815,183,9577
13,District - Visakhapatnam,4290589,4105320,86330,77607,2301,850,2316,286,15579
14,District - East Godavari,5154296,4983330,77777,77825,738,413,4149,403,9661
15,District - West Godavari,3936966,3733191,86142,109120,288,209,1578,211,6227
16,District - Krishna,4517398,4023678,307043,145598,1393,863,6320,906,31597
17,District - Guntur,4887813,4217597,559770,89763,764,323,3282,332,15982
18,District - Prakasam,3397448,3150195,220654,18775,266,97,204,206,7051
19,District - Sri Potti Sriramulu Nellore,2963557,2639737,288378,26202,678,239,2610,146,5567
20,District - Y.S.R.,2882469,2391231,454108,23281,367,105,751,245,12381
21,District - Kurnool,4053463,3328380,670737,33165,737,255,2235,434,17520
22,District - Anantapur,4081148,3599372,443456,20463,932,341,1417,309,14858
23,District - Chittoor,4174064,3737588,397870,24129,867,253,1322,358,11677
