,Entity,Total,Hindu,Muslim,Christian,Sikh,Buddhist,Jain,Other/Unclassified,Unstated
0,State - ARUNACHAL PRADESH,1383727,401876,27045,418732,3287,162815,771,362553,6648
1,District - Tawang,49977,11842,787,776,1164,34920,72,349,67
2,District - West Kameng,83947,31265,1970,8466,328,36087,71,5556,204
3,District - East Kameng,78690,12333,652,37136,36,452,23,27868,190
4,District - Papum Pare,176573,57027,6148,84397,310,4768,139,22586,1198
5,District - Upper Subansiri,83448,13474,521,8779,28,297,11,59449,889
6,District - West Siang,112274,15881,2218,29969,577,3311,49,60005,264
7,District - East Siang,99214,27854,2289,18254,69,776,30,49393,549
8,District - Upper Siang,35320,5261,411,5643,27,2577,7,20967,427
9,District - Changlang,148226,47683,2134,35969,94,50381,95,11738,132
10,District - Tirap,111975,20682,1103,83361,61,778,43,5325,622
11,District - Lower Subansiri,83030,9551,1482,34402,27,193,13,37085,277
12,District - Kurung Kumey,92076,4859,471,51189,43,121,81,34158,1154
13,District - Dibang Valley,8004,3141,111,223,7,126,2,4267,127
14,District - Lower Dibang Valley,54080,28915,2247,9213,33,2932,19,10393,328
15,District - Lohit,145726,99020,3846,10684,210,24452,104,7277,133
16,District - Anjaw,21167,13088,655,271,273,644,12,6137,87
