,Entity,Total,Hindu,Muslim,Christian,Sikh,Buddhist,Jain,Other/Unclassified,Unstated
0,State - ASSAM,31205576,19180759,10679345,1165867,20672,54993,25949,27118,50873
1,District - Kokrajhar,887142,529068,252271,101091,93,1718,396,123,2382
2,District - Dhubri,1949258,388380,1553023,4107,254,101,1846,45,1502
3,District - Goalpara,1008183,347878,579929,77862,771,194,477,103,969
4,District - Barpeta,1693622,492966,1198036,1020,112,49,399,14,1026
5,District - Morigaon,957423,451882,503257,834,113,65,244,11,1017
6,District - Nagaon,2823768,1225246,1563203,26844,3036,1073,1162,61,3143
7,District - Sonitpur,1924110,1422824,350536,138166,1363,5088,1003,221,4909
8,District - Lakhimpur,1042137,797130,193476,46217,412,1074,250,2410,1168
9,District - Dhemaji,686133,655052,13475,8711,297,911,167,6315,1205
10,District - Tinsukia,1327929,1181347,48373,76877,1999,16228,837,395,1873
11,District - Dibrugarh,1326335,1198401,64526,52968,2261,4673,1055,46,2405
12,District - Sivasagar,1151050,1007277,95553,33147,902,3953,286,8541,1391
13,District - Jorhat,1092256,1008219,54684,21051,1540,2378,719,578,3087
14,District - Golaghat,1066888,917426,90312,50582,1131,3863,530,1347,1697
15,District - Karbi Anglong,956313,766000,20290,157789,370,6260,397,3568,1639
16,District - Dima Hasao,214102,143593,4358,63310,207,680,70,1170,714
17,District - Cachar,1736617,1038985,654816,37635,280,341,1673,98,2789
18,District - Karimganj,1228686,521962,692489,11990,114,446,524,110,1051
19,District - Hailakandi,659296,251194,397653,8480,84,490,247,636,512
20,District - Bongaigaon,738804,359145,371033,5924,384,236,871,9,1202
21,District - Chirang,482162,320647,109248,49747,87,406,125,482,1420
22,District - Kamrup,1517542,877495,601784,33297,319,185,1330,55,3077
23,District - Kamrup Metropolitan,1253938,1064412,151071,18810,3679,1627,9250,170,4919
24,District - Nalbari,771639,491582,277488,429,62,27,1004,9,1038
25,District - Baksa,950075,782901,135750,27076,156,1189,239,353,2411
26,District - Darrang,928500,327322,597392,1688,431,57,724,19,867
27,District - Udalguri,831668,612425,105319,110215,215,1681,124,229,1460
