,Entity,Total,Hindu,Muslim,Christian,Sikh,Buddhist,Jain,Other/Unclassified,Unstated
0,State - BIHAR,104099452,86078686,17557809,129247,23779,25453,18914,13437,252127
1,District - Pashchim Champaran,3935042,3047427,865090,8469,926,1337,296,1895,9602
2,District - Purba Champaran,5099371,4086453,990349,4865,668,878,464,104,15590
3,District - Sheohar,656246,552492,99342,522,216,73,52,44,3505
4,District - Sitamarhi,3423574,2672311,740101,2897,261,253,188,20,7543
5,District - Madhubani,4487379,3652168,818912,3262,564,328,442,169,11534
6,District - Supaul,2229076,1809936,409251,3758,271,136,546,42,5136
7,District - Araria,2811569,1593525,1207442,4116,371,187,1910,63,3955
8,District - Kishanganj,1690400,531236,1149095,5783,398,183,1476,28,2201
9,District - Purnia,3264619,1989420,1255641,7989,614,353,1450,650,8502
10,District - Katihar,3071029,1684589,1365645,8659,2754,212,507,2141,6522
11,District - Madhepura,2001762,1753829,241760,1342,170,60,133,81,4387
12,District - Saharsa,1900661,1629254,266620,1292,197,60,109,8,3121
13,District - Darbhanga,3937385,3042729,881476,3534,832,245,236,101,8232
14,District - Muzaffarpur,4801062,4032773,745546,5149,933,288,382,98,15893
15,District - Gopalganj,2562012,2119262,436057,2463,271,167,133,28,3631
16,District - Siwan,3330464,2712635,608282,2618,369,407,359,86,5708
17,District - Saran,3951862,3534772,406449,2330,371,229,322,107,7282
18,District - Vaishali,3495021,3152346,333980,2203,707,362,246,71,5106
19,District - Samastipur,4261566,3800598,452370,2126,554,292,231,112,5283
20,District - Begusarai,2970541,2554330,407348,2209,402,229,276,57,5690
21,District - Khagaria,1666886,1486989,175588,1253,143,79,86,115,2633
22,District - Bhagalpur,3037766,2487866,537098,3556,415,180,1050,32,7569
23,District - Banka,2034763,1772655,250925,6138,139,113,94,1035,3664
24,District - Munger,1367765,1252319,110416,1815,338,95,145,61,2576
25,District - Lakhisarai,1000912,956396,40886,487,140,52,78,52,2821
26,District - Sheikhpura,636342,596102,37653,313,75,41,43,31,2084
27,District - Nalanda,2877653,2669775,198033,1978,393,414,561,64,6435
28,District - Patna,5838465,5356075,439952,12551,4803,1062,2151,203,21668
29,District - Bhojpur,2728407,2518216,197819,2165,544,647,1472,48,7496
30,District - Buxar,1706352,1591454,105423,2125,248,5090,97,57,1858
31,District - Kaimur (Bhabua),1626384,1456229,155283,1407,296,7707,129,1534,3799
32,District - Rohtas,2959918,2645415,300487,2889,2569,1584,252,537,6185
33,District - Aurangabad,2540073,2291133,237353,2218,295,334,775,19,7946
34,District - Gaya,4391418,3876395,488121,3943,913,870,1723,108,19345
35,District - Nawada,2219146,1964620,244394,1299,250,176,279,80,8048
36,District - Jamui,1760405,1525746,217621,8443,162,159,87,3438,4749
37,District - Jehanabad ,1125313,1045117,75742,691,148,248,60,58,3249
38,District - Arwal,700843,634099,64259,390,59,323,74,60,1579
