,Entity,Total,Hindu,Muslim,Christian,Sikh,Buddhist,Jain,Other/Unclassified,Unstated
0,State - CHHATTISGARH,25545198,23819789,514998,490542,70036,70467,61510,494594,23262
1,District - Koriya,658917,604259,25878,9398,1391,84,1155,15474,1278
2,District - Surguja,2359886,2126195,81442,97432,2303,1287,623,48295,2309
3,District - Jashpur ,851669,629509,15336,189588,474,467,694,14835,766
4,District - Raigarh,1493984,1422986,17332,47653,2117,781,409,1782,924
5,District - Korba ,1206640,1133176,30195,21059,3666,897,753,15649,1245
6,District - Janjgir - Champa,1619707,1597089,14173,2926,635,556,707,2220,1401
7,District - Bilaspur,2663629,2540763,57973,20745,6373,2979,2357,29122,3317
8,District - Kabeerdham,822526,776013,12206,980,924,433,1167,30222,581
9,District - Rajnandgaon,1537133,1399658,23648,5193,3761,28541,8187,67444,701
10,District - Durg,3343872,3129745,83499,24304,24276,19587,17209,42569,2683
11,District - Raipur,4063872,3881485,103038,23181,16707,8397,17137,10680,3247
12,District - Mahasamund,1032754,1008061,12570,5284,2941,521,1495,1417,465
13,District - Dhamtari ,799781,777188,10425,2644,1196,667,3612,3685,364
14,District - Uttar Bastar Kanker,748941,627460,6040,4007,552,2213,1071,105869,1729
15,District - Bastar,1413199,1277975,12413,27951,2099,985,3466,86925,1385
16,District - Narayanpur,139820,129161,776,600,96,71,409,8542,165
17,District - Dakshin Bastar Dantewada,533638,513915,6437,4888,457,352,1044,6071,474
18,District - Bijapur,255230,245151,1617,2709,68,1649,15,3793,228
