,Entity,Total,Hindu,Muslim,Christian,Sikh,Buddhist,Jain,Other/Unclassified,Unstated
0,State - NCT OF DELHI,16787941,13712100,2158684,146093,570581,18449,166231,2197,13606
1,District - North West,3656539,3211042,291330,14100,92129,2281,43460,345,1852
2,District - North,887978,726443,119792,7256,19066,1824,13049,81,467
3,District - North East,2241624,1529337,657585,9123,17424,2388,24673,48,1046
4,District - East,1709346,1410852,178807,15792,53027,2643,46927,366,932
5,District - New Delhi,142004,124482,8480,4852,2933,312,679,66,200
6,District - Central,582320,364148,194278,3527,13038,362,5886,107,974
7,District - West,2543243,2087294,149807,18337,271752,1993,11322,273,2465
8,District - South West,2292958,2102743,112691,31226,31692,2784,9215,266,2341
9,District - South,2731929,2155759,445914,41880,69520,3862,11020,645,3329
