,Entity,Total,Hindu,Muslim,Christian,Sikh,Buddhist,Jain,Other/Unclassified,Unstated
0,State - GUJARAT,60439692,53533988,5846761,316178,58246,30483,579654,16480,57902
1,District - Kachchh,2092371,1608921,442355,6192,6353,490,25312,98,2650
2,District - Banas Kantha,3120506,2890305,213505,1686,486,281,12659,83,1501
3,District - Patan  ,1343734,1194745,142797,916,337,66,3602,66,1205
4,District - Mahesana,2035064,1885732,136431,1954,1082,146,7087,88,2544
5,District - Sabar Kantha,2428589,2260560,148563,6375,614,168,11110,52,1147
6,District - Gandhinagar,1391753,1319586,57273,3237,1985,497,6405,82,2688
7,District - Ahmadabad,7214225,6042416,883238,50754,14542,4518,209287,2055,7415
8,District - Surendranagar,1756268,1620282,109681,1419,512,312,22992,128,942
9,District - Rajkot,3804558,3397406,361388,5478,1918,1170,33591,269,3338
10,District - Jamnagar,2160119,1810443,320805,4392,1873,1086,18856,136,2528
11,District - Porbandar ,585449,549749,33565,500,248,91,515,38,743
12,District - Junagadh,2743082,2397056,334858,2586,1110,1291,3841,77,2263
13,District - Amreli,1514190,1410463,99105,919,415,243,2053,40,952
14,District - Bhavnagar,2880365,2632574,212863,3457,1410,445,26974,127,2515
15,District - Anand  ,2092745,1798794,250919,29789,1524,267,8591,142,2719
16,District - Kheda,2299885,2000884,264482,26629,1403,300,3479,82,2626
17,District - Panch Mahals,2390776,2220974,158513,2863,662,337,5236,131,2060
18,District - Dohad  ,2127086,2045243,66353,9907,493,260,3331,114,1385
19,District - Vadodara,4165626,3713941,384579,23813,9340,2069,27650,1124,3110
20,District - Narmada,590297,559848,22600,4413,147,80,373,2078,758
21,District - Bharuch,1551019,1188204,343511,9494,1733,442,4813,342,2480
22,District - The Dangs,228291,203545,3593,20029,69,32,39,560,424
23,District - Navsari  ,1329672,1225087,78669,5733,2459,601,13386,2823,914
24,District - Valsad,1705678,1571147,94034,19661,1589,913,13809,1417,3108
25,District - Surat,6081322,5260193,660772,21052,5703,12902,112835,3920,3945
26,District - Tapi,807022,725890,22309,52930,239,1476,1828,408,1942
