,Entity,Total,Hindu,Muslim,Christian,Sikh,Buddhist,Jain,Other/Unclassified,Unstated
0,State - HARYANA,25351462,22171128,1781342,50353,1243752,7514,52613,2548,42212
1,District - Panchkula,561293,490702,23451,2583,40951,1008,1626,90,882
2,District - Ambala,1128350,955096,22143,3705,138202,381,4845,110,3868
3,District - Yamunanagar,1214205,984929,138569,3646,84455,161,1555,126,764
4,District - Kurukshetra,964655,805175,15970,1943,140395,214,375,106,477
5,District - Kaithal,1074304,974520,8232,1769,87558,265,351,70,1539
6,District - Karnal,1505324,1341002,31650,2049,126207,532,1516,49,2319
7,District - Panipat,1205437,1083936,86622,2261,25064,289,4647,99,2519
8,District - Sonipat,1450001,1390149,45100,1405,4484,336,6033,29,2465
9,District - Jind,1334152,1276669,23016,889,29103,172,2594,56,1653
10,District - Fatehabad,942011,779243,8360,996,150969,171,1172,530,570
11,District - Sirsa,1295189,940255,9524,2186,338962,370,2256,624,1012
12,District - Hisar,1743931,1701061,21650,1945,12270,334,3620,33,3018
13,District - Bhiwani,1634445,1611031,15515,873,2401,254,1016,26,3329
14,District - Rohtak,1061204,1043887,8185,732,3916,200,3491,24,769
15,District - Jhajjar,958405,945693,8247,734,1042,105,645,22,1917
16,District - Mahendragarh,922088,913251,5660,301,1737,75,644,15,405
17,District - Rewari,900332,889133,5713,701,1804,202,1525,12,1242
18,District - Gurgaon,1514432,1408801,70842,9725,15097,944,7451,254,1318
19,District - Mewat ,1089263,221846,862647,1235,592,516,1453,4,970
20,District - Faridabad,1809733,1588407,161680,9743,34572,640,4883,249,9559
21,District - Palwal ,1042708,826342,208566,932,3971,345,915,20,1617
