,Entity,Total,Hindu,Muslim,Christian,Sikh,Buddhist,Jain,Other/Unclassified,Unstated
0,State - HIMACHAL PRADESH,6864602,6532765,149881,12646,79896,78659,1805,856,8094
1,District - Chamba,519080,479782,32455,1559,2745,1740,57,14,728
2,District - Kangra,1510075,1461140,19797,3023,8929,14511,194,208,2273
3,District - Lahul & Spiti,31564,11649,74,212,35,19572,3,1,18
4,District - Kullu,437903,415669,2974,1568,1396,15377,94,83,742
5,District - Mandi,999777,981412,9460,876,4081,2628,43,86,1191
6,District - Hamirpur,454768,449412,3711,243,591,95,293,9,414
7,District - Una,521173,480138,14275,390,26009,56,70,10,225
8,District - Bilaspur,381956,371973,6984,236,2387,113,10,7,246
9,District - Solan,580320,548579,14678,1452,13926,574,591,110,410
10,District - Sirmaur,529855,476830,33215,577,15501,2645,236,86,765
11,District - Shimla,814010,791449,11810,2025,4047,3262,185,197,1035
12,District - Kinnaur,84121,64732,448,485,249,18086,29,45,47
