,Entity,Total,Hindu,Muslim,Christian,Sikh,Buddhist,Jain,Other/Unclassified,Unstated
6,INDIA,1210854977,966257353,172245158,27819588,20833116,8442972,4451753,7937734,2867303
9,State - JAMMU & KASHMIR ,12541302,3566674,8567485,35631,234848,112584,2490,1508,20082
12,State - HIMACHAL PRADESH ,6864602,6532765,149881,12646,79896,78659,1805,856,8094
15,State - PUNJAB ,27743338,10678138,535489,348230,16004754,33237,45040,10886,87564
18,State - CHANDIGARH ,1055450,852574,51447,8720,138329,1160,1960,246,1014
21,State - UTTARAKHAND ,10086292,8368636,1406825,37781,236340,14926,9183,993,11608
24,State - HARYANA ,25351462,22171128,1781342,50353,1243752,7514,52613,2548,42212
27,State - NCT OF DELHI ,16787941,13712100,2158684,146093,570581,18449,166231,2197,13606
30,State - RAJASTHAN ,68548437,60657103,6215377,96430,872930,12185,622023,4676,67713
33,State - UTTAR PRADESH ,199812341,159312654,38483967,356448,643500,206285,213267,13598,582622
36,State - BIHAR ,104099452,86078686,17557809,129247,23779,25453,18914,13437,252127
39,State - SIKKIM ,610577,352662,9867,60522,1868,167216,314,16300,1828
42,State - ARUNACHAL PRADESH ,1383727,401876,27045,418732,3287,162815,771,362553,6648
45,State - NAGALAND ,1978502,173054,48963,1739651,1890,6759,2655,3214,2316
48,State - MANIPUR ,2855794,1181876,239836,1179043,1527,7084,1692,233767,10969
51,State - MIZORAM ,1097206,30136,14832,956331,286,93411,376,808,1026
54,State - TRIPURA ,3673917,3063903,316042,159882,1070,125385,860,1514,5261
57,State - MEGHALAYA ,2966889,342078,130399,2213027,3045,9864,627,258271,9578
60,State - ASSAM ,31205576,19180759,10679345,1165867,20672,54993,25949,27118,50873
63,State - WEST BENGAL ,91276115,64385546,24654825,658618,63523,282898,60141,942297,228267
66,State - JHARKHAND ,32988134,22376051,4793994,1418608,71422,8956,14974,4235786,68343
69,State - ODISHA ,41974218,39300341,911670,1161708,21991,13852,9420,478317,76919
72,State - CHHATTISGARH ,25545198,23819789,514998,490542,70036,70467,61510,494594,23262
75,State - MADHYA PRADESH ,72626809,66007121,4774695,213282,151412,216052,567028,599594,97625
78,State - GUJARAT ,60439692,53533988,5846761,316178,58246,30483,579654,16480,57902
81,State - DAMAN & DIU ,243247,220150,19277,2820,172,217,287,79,245
84,State - DADRA & NAGAR HAVELI ,343709,322857,12922,5113,217,634,1186,293,487
87,State - MAHARASHTRA ,112374333,89703057,12971152,1080073,223247,6531200,1400349,178965,286290
90,State - ANDHRA PRADESH ,84580777,74824149,8082412,1129784,40244,36692,53849,9547,404100
93,State - KARNATAKA ,61095297,51317472,7893065,1142647,28773,95710,440280,11263,166087
96,State - GOA ,1458545,963877,121564,366130,1473,1095,1109,258,3039
99,State - LAKSHADWEEP ,64473,1788,62268,317,8,10,11,7,64
102,State - KERALA ,33406061,18282492,8873472,6141269,3814,4752,4489,7618,88155
105,State - TAMIL NADU ,72147030,63188168,4229479,4418331,14601,11186,89265,7414,188586
108,State - PUDUCHERRY ,1247953,1089409,75556,78550,297,451,1400,168,2122
111,State - ANDAMAN & NICOBAR ISLANDS ,380581,264296,32413,80984,1286,338,31,564,669
