,Entity,Total,Hindu,Muslim,Christian,Sikh,Buddhist,Jain,Other/Unclassified,Unstated
0,State - JAMMU & KASHMIR,12541302,3566674,8567485,35631,234848,112584,2490,1508,20082
1,District - Kupwara,870354,37128,823286,1700,5600,66,39,13,2522
2,District - Badgam,753745,10110,736054,1489,5559,47,6,2,478
3,District - Leh(Ladakh),133487,22882,19057,658,1092,88635,103,54,1006
4,District - Kargil,140802,10341,108239,604,1171,20126,28,4,289
5,District - Punch,476835,32604,431279,958,11188,83,10,2,711
6,District - Rajouri,642415,221880,402879,983,15513,189,26,3,942
7,District - Kathua,616435,540063,64234,1828,9551,24,16,2,717
8,District - Baramula,1008039,30621,959185,1497,14770,140,29,7,1790
9,District - Bandipore,392232,8439,382006,572,555,44,17,2,597
10,District - Srinagar,1236829,42540,1177342,2746,12187,285,74,2,1653
11,District - Ganderbal,297446,5592,290581,406,486,25,8,4,344
12,District - Pulwama,560440,13840,535159,1109,9440,35,6,18,833
13,District - Shupiyan,266215,3116,262263,429,178,6,1,6,216
14,District - Anantnag,1078692,13180,1057005,1449,6140,55,7,7,849
15,District - Kulgam,424483,4267,418076,460,1035,27,25,9,584
16,District - Doda,409936,187621,220614,472,422,21,22,42,722
17,District - Ramban,283713,81026,200516,414,753,43,3,252,706
18,District - Kishtwar,230696,93931,133225,277,450,2094,3,514,202
19,District - Udhampur,554985,489044,59771,1962,3418,106,57,235,392
20,District - Reasi,314667,153898,156275,1208,3107,15,7,3,154
21,District - Jammu,1529958,1289240,107489,12104,114272,470,1987,321,4075
22,District - Samba,318898,275311,22950,2306,17961,48,16,6,300
