,Entity,Total,Hindu,Muslim,Christian,Sikh,Buddhist,Jain,Other/Unclassified,Unstated
0,State - JHARKHAND,32988134,22376051,4793994,1418608,71422,8956,14974,4235786,68343
1,District - Garhwa ,1322784,1104475,194680,17168,123,371,20,4591,1356
2,District - Chatra,1042886,903179,116710,6565,888,35,129,12936,2444
3,District - Kodarma,716259,605138,107018,1221,944,32,980,269,657
4,District - Giridih,2445474,1856202,508586,14645,937,650,1503,59218,3733
5,District - Deoghar,1492073,1165140,302626,6027,143,188,282,16067,1600
6,District - Godda,1313551,937126,289182,37795,97,128,115,47067,2041
7,District - Sahibganj,1150567,628044,398243,83208,198,245,125,38426,2078
8,District - Pakur,900422,410127,322963,75865,356,283,222,88760,1846
9,District - Dhanbad,2684487,2149480,431762,11243,9727,331,1268,77182,3494
10,District - Bokaro,2062330,1636460,241451,13730,4174,1890,2045,160524,2056
11,District - Lohardaga,461790,112378,95012,16770,51,33,15,235987,1544
12,District - Purbi Singhbhum,2293919,1550178,203999,30172,38544,892,1670,465367,3097
13,District - Palamu,1939869,1683169,238295,6164,734,188,284,5681,5354
14,District - Latehar,726978,473049,69808,47653,120,128,16,133525,2679
15,District - Hazaribagh,1734495,1397227,281247,17137,1312,71,1676,34154,1671
16,District - Ramgarh,949443,774251,129037,7260,5093,69,537,32378,818
17,District - Dumka,1321442,1044726,106865,86404,234,267,162,78622,4162
18,District - Jamtara,791042,550560,164406,4419,520,118,783,68564,1672
19,District - Ranchi,2914253,1612239,410759,193974,4826,932,2733,677445,11345
20,District - Khunti,531885,138863,13122,136438,69,245,148,241292,1708
21,District - Gumla,1025213,309563,51429,202449,221,531,23,457468,3529
22,District - Simdega,599578,201524,15103,306601,51,753,114,73930,1502
23,District - Pashchimi Singhbhum,1502338,423937,38103,87587,946,389,52,945864,5460
24,District - Saraikela-Kharsawan,1065056,709016,63588,8113,1114,187,72,280469,2497
