,Entity,Total,Hindu,Muslim,Christian,Sikh,Buddhist,Jain,Other/Unclassified,Unstated
0,State - KARNATAKA,61095297,51317472,7893065,1142647,28773,95710,440280,11263,166087
1,District - Belgaum,4779661,4038331,528412,18418,2037,1086,178310,149,12918
2,District - Bagalkot ,1889752,1634229,219991,3433,443,412,25198,166,5880
3,District - Bijapur,2177331,1786830,369588,2433,558,374,8665,499,8384
4,District - Bidar,1703300,1289709,335184,35438,1145,30453,680,521,10170
5,District - Raichur,1928812,1634062,272022,10394,538,2265,4156,29,5346
6,District - Koppal,1389920,1218024,161770,4081,296,85,2898,461,2305
7,District - Gadag,1064570,907750,143665,3432,231,79,5993,74,3346
8,District - Dharwad,1847023,1390020,386834,28747,1486,715,29037,2748,7436
9,District - Uttara Kannada,1437169,1187306,187974,44530,305,12804,3624,64,562
10,District - Haveri,1597668,1281878,297927,2406,419,68,9834,702,4434
11,District - Bellary,2452595,2103633,320834,14014,1029,284,8044,54,4703
12,District - Chitradurga,1659456,1520553,128751,3175,322,84,3778,128,2665
13,District - Davanagere,1945497,1658465,265805,5420,307,164,6417,1743,7176
14,District - Shimoga,1752753,1479424,234664,26521,400,120,9234,367,2023
15,District - Udupi,1177361,1009179,96740,65838,232,161,4534,155,522
16,District - Chikmagalur,1137961,1004553,101235,26000,182,109,4710,4,1168
17,District - Tumkur,2678980,2413812,245923,9130,477,187,5067,161,4223
18,District - Bangalore,9621551,7725070,1248294,504863,13254,5531,83090,498,40951
19,District - Mandya,1805769,1712695,77801,8506,322,299,3607,109,2430
20,District - Hassan,1776421,1630814,120011,15611,289,623,5820,3,3250
21,District - Dakshina Kannada,2089649,1403854,501896,171398,525,445,10397,138,996
22,District - Kodagu,554519,448986,87274,17130,139,126,250,220,394
23,District - Mysore,3001127,2631985,290549,39361,1255,16194,14419,493,6871
24,District - Chamarajanagar,1020791,942071,47210,22183,136,4872,761,140,3418
25,District - Gulbarga,2566326,2011014,513125,8344,826,9589,4865,330,18233
26,District - Yadgir,1174271,997974,155340,8677,331,7970,1519,996,1464
27,District - Kolar,1536401,1305431,199873,26722,253,150,2494,92,1386
28,District - Chikkaballapura,1255104,1100131,147810,4684,264,85,975,77,1078
29,District - Bangalore Rural,990923,890429,92252,5368,389,272,1045,85,1083
30,District - Ramanagara,1082636,959260,114311,6390,383,104,859,57,1272
