,Entity,Total,Hindu,Muslim,Christian,Sikh,Buddhist,Jain,Other/Unclassified,Unstated
0,State - KERALA,33406061,18282492,8873472,6141269,3814,4752,4489,7618,88155
1,District - Kasaragod,1307375,729987,486913,87454,151,362,130,152,2226
2,District - Kannur,2523003,1509592,742483,262526,424,1118,193,722,5945
3,District - Wayanad,817420,404460,234185,174453,61,312,1797,286,1866
4,District - Kozhikode,3086293,1734958,1211131,131516,297,235,601,588,6967
5,District - Malappuram,4112920,1135259,2888849,81556,205,179,68,579,6225
6,District - Palakkad,2809934,1875980,812936,114397,220,238,78,400,5685
7,District - Thrissur,3121200,1823442,532839,757484,259,278,62,585,6251
8,District - Ernakulam,3282388,1509557,514397,1248137,860,614,1176,1083,6564
9,District - Idukki ,1108974,541854,82206,481507,100,189,44,384,2690
10,District - Kottayam,1974551,983598,126499,858608,204,358,83,565,4636
11,District - Alappuzha,2127789,1460447,224545,435056,268,146,74,311,6942
12,District - Pathanamthitta,1197412,681666,55074,456404,153,150,44,262,3659
13,District - Kollam,2635375,1697635,508500,421598,208,272,63,619,6480
14,District - Thiruvananthapuram,3301427,2194057,452915,630573,404,301,76,1082,22019
