,Entity,Total,Hindu,Muslim,Christian,Sikh,Buddhist,Jain,Other/Unclassified,Unstated
0,State - MADHYA PRADESH,72626809,66007121,4774695,213282,151412,216052,567028,599594,97625
1,District - Sheopur ,687861,638702,41396,230,6387,201,379,40,526
2,District - Morena,1965970,1875495,76159,1092,557,3234,6681,92,2660
3,District - Bhind,1703005,1595400,66776,973,4047,12215,19950,73,3571
4,District - Gwalior,2032036,1835299,141735,4119,24790,4361,18058,217,3457
5,District - Datia,786754,747693,28483,683,490,7923,453,10,1019
6,District - Shivpuri,1726050,1648749,51200,1117,7151,3421,12171,72,2169
7,District - Tikamgarh,1445166,1383475,44143,588,251,109,15569,39,992
8,District - Chhatarpur,1762375,1676918,70351,1980,968,250,10409,102,1397
9,District - Panna,1016520,974748,35214,418,186,37,4734,218,965
10,District - Sagar,2378458,2198297,103480,5580,4146,991,62992,168,2804
11,District - Damoh,1264219,1186420,47966,1681,1096,119,25005,82,1850
12,District - Satna,2228935,2158623,59471,2228,1163,364,3135,1689,2262
13,District - Rewa,2365106,2268838,85414,1964,832,986,655,232,6185
14,District - Umaria,644758,620515,15966,667,190,70,220,6028,1102
15,District - Neemuch ,826067,741288,67324,1508,1110,224,14165,115,333
16,District - Mandsaur,1340411,1192588,125548,1120,849,242,19029,77,958
17,District - Ratlam,1455069,1267043,151071,3996,1353,175,29353,123,1955
18,District - Ujjain,1986864,1718204,233133,4659,3241,945,24622,211,1849
19,District - Shajapur,1512681,1321003,174724,815,631,179,13755,66,1508
20,District - Dewas,1563715,1376591,174259,2355,2330,382,6497,72,1229
21,District - Dhar,2185793,2051219,116202,2261,1607,328,12199,88,1889
22,District - Indore,3276697,2728225,415142,18523,25696,11496,71667,720,5228
23,District - Khargone (West Nimar),1873046,1725441,135085,2075,2896,284,6028,89,1148
24,District - Barwani ,1385881,1318869,58222,2967,2361,416,2289,263,494
25,District - Rajgarh,1545814,1433879,106928,1243,460,121,1599,50,1534
26,District - Vidisha,1458875,1287391,149548,1313,914,295,18490,70,854
27,District - Bhopal,2371061,1755861,525434,23432,10789,21688,25950,335,7572
28,District - Sehore,1311332,1163607,137980,1404,640,357,6232,66,1046
29,District - Raisen,1331597,1195235,120331,1725,2262,253,10637,190,964
30,District - Betul,1575362,1505745,37590,3271,1078,9651,3759,13048,1220
31,District - Harda ,570465,527462,38640,683,676,93,1573,55,1283
32,District - Hoshangabad,1241350,1175203,52269,4453,3127,1550,3888,107,753
33,District - Katni ,1292042,1240650,37232,3158,1167,157,5342,2643,1693
34,District - Jabalpur,2463289,2159065,203652,23142,13256,4320,33728,21010,5116
35,District - Narsimhapur,1091854,1038628,39048,914,997,262,8125,2873,1007
36,District - Dindori ,704524,605435,6736,4238,260,61,687,84006,3101
37,District - Mandla,1054905,849518,16558,12450,436,297,1789,170533,3324
38,District - Chhindwara,2090922,1923920,100692,4893,2258,24471,7830,25771,1087
39,District - Seoni,1379131,1145052,79739,1857,360,7288,4982,135315,4538
40,District - Balaghat,1701698,1519384,38542,5295,1050,72162,4778,58064,2423
41,District - Guna,1241519,1172248,49203,1208,3271,529,13474,52,1534
42,District - Ashoknagar,845071,778214,40707,635,8009,1352,15094,27,1033
43,District - Shahdol,1066063,997073,42426,2372,912,268,1737,19448,1827
44,District - Anuppur,749237,686524,21473,2132,606,86,1653,35434,1329
45,District - Sidhi,1127033,1077545,34419,511,128,92,93,12556,1689
46,District - Singrauli,1178273,1118998,46574,2332,1422,338,182,6139,2288
47,District - Jhabua,1025048,960925,15733,38423,141,65,8871,388,502
48,District - Alirajpur,728999,705060,17660,4600,65,36,780,271,527
49,District - Khandwa (East Nimar),1310061,1182330,116277,2800,1726,1425,3856,158,1489
50,District - Burhanpur,757847,552526,180840,1199,1074,19883,1884,99,342
