,Entity,Total,Hindu,Muslim,Christian,Sikh,Buddhist,Jain,Other/Unclassified,Unstated
0,State - MAHARASHTRA,112374333,89703057,12971152,1080073,223247,6531200,1400349,178965,286290
1,District - Nandurbar,1648295,1521618,96182,8467,685,4969,6191,2907,7276
2,District - Dhule,2050862,1825460,187901,3653,1422,13405,12818,912,5291
3,District - Jalgaon,4229917,3457615,560261,7091,3091,143865,27404,9662,20928
4,District - Buldana,2586258,1845424,354236,3531,1668,364229,12242,522,4406
5,District - Akola,1813906,1107809,357253,4483,1504,328033,10205,389,4230
6,District - Washim,1197160,859949,142672,1707,518,179330,8476,381,4127
7,District - Amravati,2888445,2055177,421410,7223,2242,383891,11360,3288,3854
8,District - Wardha,1300774,1057096,53854,2696,2147,175417,5663,2254,1647
9,District - Nagpur,4653570,3492202,390974,34667,20469,668050,24528,12181,10499
10,District - Bhandara,1200334,1009352,26502,2145,831,154458,1017,3555,2474
11,District - Gondiya,1322507,1153861,26157,1827,2160,125282,1568,5080,6572
12,District - Gadchiroli,1072942,927411,21063,3872,681,82695,454,30047,6719
13,District - Chandrapur,2204307,1780085,92297,10701,5251,286734,3861,23188,2190
14,District - Yavatmal,2772348,2251401,239236,4567,1596,249874,11422,3745,10507
15,District - Nanded,3361292,2501741,471951,3902,13540,354189,5049,1273,9647
16,District - Hingoli,1177345,863199,127552,992,643,176679,5278,103,2899
17,District - Parbhani,1836086,1328385,306364,2081,1371,187899,6238,262,3486
18,District - Jalna,1959046,1504641,274221,12542,1629,152540,9619,336,3518
19,District - Aurangabad,3701282,2545438,786677,15991,5142,309093,30981,1005,6955
20,District - Nashik,6107187,5237009,693052,23946,8912,94783,38212,1795,9478
21,District - Thane,11060148,8716055,1355630,280700,39149,449617,172052,9862,37083
22,District - Mumbai Suburban,9356962,6337132,1795788,322476,47288,469568,343639,18345,22726
23,District - Mumbai,3085411,1873762,773173,84555,13471,134257,166000,31094,9099
24,District - Raigarh,2634200,2239370,227465,17452,7477,121791,12260,1159,7226
25,District - Pune,9429408,8090254,673704,134192,27090,340404,127786,9873,26105
26,District - Ahmadnagar,4543159,4107143,320743,22766,5431,33898,38718,1408,13052
27,District - Bid,2585049,2174672,320395,2097,824,68482,8719,399,9461
28,District - Latur,2454196,2006984,367664,2387,935,66535,6387,310,2994
29,District - Osmanabad,1657576,1437623,178925,942,340,28216,4530,195,6805
30,District - Solapur,4317756,3795424,441254,9882,1279,35497,28134,568,5718
31,District - Satara,3003741,2691952,146970,4408,1182,141315,12810,676,4428
32,District - Ratnagiri,1615069,1307211,187197,1990,230,113467,3347,95,1532
33,District - Sindhudurg,849651,780384,26264,15471,219,24762,1046,53,1452
34,District - Kolhapur,3876001,3379906,286558,15573,1570,29766,154882,1274,6472
35,District - Sangli,2822143,2440312,239607,9098,1260,38210,87453,769,5434
