,Entity,Total,Hindu,Muslim,Christian,Sikh,Buddhist,Jain,Other/Unclassified,Unstated
0,State - MANIPUR,2855794,1181876,239836,1179043,1527,7084,1692,233767,10969
1,District - Senapati,479148,43833,1649,426819,140,2409,53,1243,3002
2,District - Tamenglong ,140651,2995,589,134760,59,425,57,1144,622
3,District - Churachandpur,274143,12034,2886,254979,152,495,87,2333,1177
4,District - Bishnupur,237399,175102,18691,4264,56,76,16,38457,737
5,District - Thoubal,422168,267146,107323,4322,106,114,24,42347,786
6,District - Imphal West,517992,387497,24298,23377,589,1891,1264,77032,2044
7,District - Imphal East,456113,274906,80199,27361,181,639,62,70825,1940
8,District - Ukhrul,183998,7553,1115,174112,108,635,70,32,373
9,District - Chandel,144182,10810,3086,129049,136,400,59,354,288
