,Entity,Total,Hindu,Muslim,Christian,Sikh,Buddhist,Jain,Other/Unclassified,Unstated
0,State - NAGALAND,1978502,173054,48963,1739651,1890,6759,2655,3214,2316
1,District - Mon,250260,8102,3444,236494,84,1256,314,1,565
2,District - Mokokchung,194622,9840,2057,181847,78,442,66,6,286
3,District - Zunheboto,140757,2580,772,136995,39,286,6,2,77
4,District - Wokha,166343,5605,2043,158236,34,318,8,20,79
5,District - Dimapur ,378811,108900,31212,234239,566,1270,2148,157,319
6,District - Phek,163418,3563,950,158224,31,350,17,198,85
7,District - Tuensang,196596,2979,1052,191864,27,572,5,1,96
8,District - Longleng,50484,873,635,48849,5,77,0,0,45
9,District - Kiphire,74004,1040,564,71803,13,210,1,1,372
10,District - Kohima,267988,25496,4384,234955,998,1519,80,335,221
11,District - Peren,95219,4076,1850,86145,15,459,10,2493,171
