,Entity,Total,Hindu,Muslim,Christian,Sikh,Buddhist,Jain,Other/Unclassified,Unstated
0,State - ODISHA,41974218,39300341,911670,1161708,21991,13852,9420,478317,76919
1,District - Bargarh,1481255,1459065,7527,11744,652,161,125,44,1937
2,District - Jharsuguda,579505,553587,12783,10462,1441,80,70,67,1015
3,District - Sambalpur,1041099,964188,20120,50637,2506,310,86,1117,2135
4,District - Debagarh,312520,296001,704,14518,53,102,7,409,726
5,District - Sundargarh,2093437,1532352,71391,385011,5713,710,721,89986,7553
6,District - Kendujhar,1801733,1752694,27752,9141,2177,209,131,7372,2257
7,District - Mayurbhanj,2519738,2113079,33706,15008,661,162,109,351714,5299
8,District - Baleshwar,2320529,2197709,94254,6434,237,111,201,18345,3238
9,District - Bhadrak,1506337,1398543,104202,745,169,81,111,61,2425
10,District - Kendrapara ,1440361,1386792,50247,1423,169,62,52,24,1592
11,District - Jagatsinghapur ,1136971,1086140,46929,1604,206,74,58,63,1897
12,District - Cuttack,2624470,2457729,141263,11985,1026,6276,1180,168,4843
13,District - Jajapur  ,1827192,1725595,93642,1623,470,58,100,3073,2631
14,District - Dhenkanal,1192811,1185542,4805,727,124,366,39,139,1069
15,District - Anugul  ,1273821,1258684,7512,3383,812,226,36,971,2197
16,District - Nayagarh  ,962789,955754,5278,383,107,33,24,12,1198
17,District - Khordha ,2251673,2147632,84060,12527,1264,475,476,434,4805
18,District - Puri,1698730,1644905,46094,4239,193,243,94,302,2660
19,District - Ganjam,3529031,3486059,13315,23975,590,174,170,76,4672
20,District - Gajapati,577817,353160,1556,219482,53,2180,66,4,1316
21,District - Kandhamal,733110,580300,2138,148895,82,290,47,23,1335
22,District - Baudh,441162,438152,1007,522,24,5,11,7,1434
23,District - Subarnapur,610183,605225,1566,2374,58,46,17,6,891
24,District - Balangir,1648997,1618175,7811,16271,565,467,2225,141,3342
25,District - Nuapada,610382,601092,4952,1778,724,76,905,22,833
26,District - Kalahandi,1576869,1555367,4975,11160,796,175,1225,220,2951
27,District - Rayagada  ,967911,874445,4607,84916,219,249,123,44,3308
28,District - Nabarangapur ,1220946,1178005,6753,32152,169,189,325,54,3299
29,District - Koraput,1379647,1294151,8850,68550,518,219,491,3384,3484
30,District - Malkangiri  ,613192,600219,1871,10039,213,43,195,35,577
