,Entity,Total,Hindu,Muslim,Christian,Sikh,Buddhist,Jain,Other/Unclassified,Unstated
0,State - PUNJAB,27743338,10678138,535489,348230,16004754,33237,45040,10886,87564
1,District - Gurdaspur,2298323,1074332,27667,176587,1002874,405,580,812,15066
2,District - Kapurthala ,815168,336124,10190,5445,453692,6662,553,334,2168
3,District - Jalandhar,2193590,1394329,30233,26016,718363,11385,4011,805,8448
4,District - Hoshiarpur,1586625,1000743,23089,14968,538208,3476,2034,531,3576
5,District - Shahid Bhagat Singh Nagar ,612310,401368,6829,1479,192885,5885,695,266,2903
6,District - Fatehgarh Sahib,600163,152851,16808,1698,427521,48,178,251,808
7,District - Ludhiana,3498739,1502403,77713,16517,1863408,2007,19620,1254,15817
8,District - Moga,995746,158414,9388,3277,818921,178,436,365,4767
9,District - Firozpur,2029074,906408,6844,19358,1090815,454,1143,278,3774
10,District - Muktsar,901896,254920,4333,1681,638625,240,744,433,920
11,District - Faridkot,617508,141363,3125,1227,469789,155,1109,103,637
12,District - Bathinda,1388525,380569,16299,2474,984286,246,1266,559,2826
13,District - Mansa,769751,156539,10375,917,598443,123,1577,493,1284
14,District - Patiala,1895686,783306,40043,5683,1059944,245,1914,1410,3141
15,District - Amritsar ,2490656,690939,12502,54344,1716935,876,3152,1044,10864
16,District - Tarn Taran,1119627,60504,3855,6095,1044903,101,650,47,3472
17,District - Rupnagar,684627,304481,14492,2094,361045,118,653,143,1601
18,District - Sahibzada Ajit Singh Nagar,994628,476276,29488,5342,478908,257,1257,239,2861
19,District - Sangrur,1655169,389410,179116,2406,1077438,268,3222,1038,2271
20,District - Barnala,595527,112859,13100,622,467751,108,246,481,360
