,Entity,Total,Hindu,Muslim,Christian,Sikh,Buddhist,Jain,Other/Unclassified,Unstated
0,State - RAJASTHAN,68548437,60657103,6215377,96430,872930,12185,622023,4676,67713
1,District - Ganganagar ,1969168,1437144,50688,2077,474853,938,1988,164,1316
2,District - Hanumangarh,1774692,1433067,118673,1542,216997,241,1935,138,2099
3,District - Bikaner,2363937,2073356,235741,1901,20072,285,30850,79,1653
4,District - Churu,2039547,1777879,249736,958,402,188,7104,127,3153
5,District - Jhunjhunun,2137045,1905682,228178,1004,275,56,548,85,1217
6,District - Alwar,3674179,3039279,547335,2696,64532,4384,13221,348,2384
7,District - Bharatpur,2548462,2143046,371286,1576,23456,899,5758,18,2423
8,District - Dhaulpur,1206516,1127520,72258,688,1356,92,2739,21,1842
9,District - Karauli,1458248,1370977,81553,602,297,70,3424,413,912
10,District - Sawai Madhopur,1335551,1165505,155681,945,812,177,9991,42,2398
11,District - Dausa,1634409,1582335,45488,439,296,94,3737,115,1905
12,District - Jaipur,6626178,5819980,687452,12708,18782,1020,81079,257,4900
13,District - Sikar,2677333,2342076,327583,1122,356,177,4050,15,1954
14,District - Nagaur,3307743,2833443,454487,1912,366,163,12940,276,4156
15,District - Jodhpur,3687165,3224399,411558,6035,4123,514,36697,80,3759
16,District - Jaisalmer,669919,497045,168129,874,1723,98,1521,34,495
17,District - Barmer,2603751,2244882,321192,1157,450,157,34010,34,1869
18,District - Jalor,1828730,1732852,78990,730,231,144,14640,82,1061
19,District - Sirohi,1036346,996562,30479,1284,572,114,6829,56,450
20,District - Pali,2037573,1870543,143476,1345,1540,141,18974,52,1502
21,District - Ajmer,2583052,2201663,314159,10605,6799,417,45614,184,3611
22,District - Tonk,1421326,1243527,153146,754,378,122,22458,30,911
23,District - Bundi,1110906,1017688,66609,682,11059,144,13455,24,1245
24,District - Bhilwara,2408523,2224839,142427,1978,1468,183,35149,60,2419
25,District - Rajsamand,1156597,1105676,33677,759,260,100,14966,68,1091
26,District - Dungarpur,1388552,1340065,28662,830,240,226,16141,853,1535
27,District - Banswara,1797485,1701234,48834,22250,427,138,22613,109,1880
28,District - Chittaurgarh,1544338,1413163,97855,1274,1515,252,25843,136,4300
29,District - Kota,1951014,1661307,243993,5665,11058,280,25742,286,2683
30,District - Baran,1222755,1133349,79984,1432,3066,84,2795,48,1997
31,District - Jhalawar,1411129,1299751,96164,842,819,46,12488,42,977
32,District - Udaipur,3068420,2869976,104307,7406,4278,209,78647,373,3224
33,District - Pratapgarh,867848,827293,25597,358,72,32,14077,27,392
