,Entity,Total,Hindu,Muslim,Christian,Sikh,Buddhist,Jain,Other/Unclassified,Unstated
0,State - TAMIL NADU,72147030,63188168,4229479,4418331,14601,11186,89265,7414,188586
1,District - Thiruvallur,3728104,3325823,143093,233633,1422,951,3693,530,18959
2,District - Chennai,4646732,3751322,439270,358662,2851,2804,51708,1759,38356
3,District - Kancheepuram,3998252,3537399,173785,256762,1620,990,4962,756,21978
4,District - Vellore,3936331,3397857,414760,111390,676,438,3514,251,7445
5,District - Tiruvannamalai,2464875,2294369,91636,66987,232,157,7898,110,3486
6,District - Viluppuram,3458873,3174941,133896,138279,325,238,4032,278,6884
7,District - Salem,3482056,3326357,95487,53841,412,174,992,246,4547
8,District - Namakkal   ,1726601,1673652,32483,16909,183,108,84,199,2983
9,District - Erode,2251744,2115455,76098,55899,435,148,639,157,2913
10,District - The Nilgiris,735394,569477,78452,84610,338,382,910,87,1138
11,District - Dindigul,2159775,1879494,105012,169945,313,256,71,138,4546
12,District - Karur ,1064493,993666,53292,16483,115,29,7,79,822
13,District - Tiruchirappalli,2722290,2279413,190964,246156,324,250,628,253,4302
14,District - Perambalur  ,565223,521658,32702,10301,83,39,38,26,376
15,District - Ariyalur  ,754894,708397,7942,37403,104,88,65,42,853
16,District - Cuddalore,2605914,2391675,123749,83334,401,236,1280,138,5101
17,District - Nagapattinam  ,1616450,1435072,128617,47579,184,450,963,110,3475
18,District - Thiruvarur,1264277,1132785,96092,33192,258,151,279,64,1456
19,District - Thanjavur,2405890,2075870,190814,133971,231,795,1256,148,2805
20,District - Pudukkottai,1618345,1428784,114194,72850,119,81,32,293,1992
21,District - Sivaganga,1339101,1186078,74310,75481,150,80,109,24,2869
22,District - Madurai,3038252,2760502,168881,97711,520,199,1532,305,8602
23,District - Theni  ,1245899,1148990,56751,37574,152,79,28,74,2251
24,District - Virudhunagar,1942288,1822626,47838,67405,245,87,98,75,3914
25,District - Ramanathapuram,1353445,1047411,208038,91139,154,86,29,36,6552
26,District - Thoothukkudi,1750176,1373920,80740,291908,127,286,53,112,3030
27,District - Tirunelveli ,3077233,2425630,303368,342254,268,373,144,450,4746
28,District - Kanniyakumari,1870374,909872,78590,876299,160,438,156,10,4849
29,District - Dharmapuri,1506843,1452956,38304,14089,164,39,37,87,1167
30,District - Krishnagiri,1879809,1723737,115303,35956,468,121,373,221,3630
31,District - Coimbatore,3458045,3044145,211035,190314,1112,435,3284,237,7483
32,District - Tiruppur,2479052,2278835,123983,70015,455,198,371,119,5076
