,Entity,Total,Hindu,Muslim,Christian,Sikh,Buddhist,Jain,Other/Unclassified,Unstated
0,State - UTTAR PRADESH,199812341,159312654,38483967,356448,643500,206285,213267,13598,582622
1,District - Saharanpur,3466382,1966892,1454052,6523,18627,1937,10208,135,8008
2,District - Muzaffarnagar,4143512,2382914,1711453,6495,18601,1516,16345,60,6128
3,District - Bijnor,3682713,2032081,1585210,6184,50624,1736,2134,41,4703
4,District - Moradabad,4772006,2488265,2248392,13157,7555,1260,2426,382,10569
5,District - Rampur,2335819,1073890,1181337,9201,65316,384,1307,63,4321
6,District - Jyotiba Phule Nagar,1840221,1075440,750368,5952,5295,189,517,21,2439
7,District - Meerut,3443689,2183255,1185643,10582,24912,1855,18544,236,18662
8,District - Baghpat,1303048,917474,364583,1840,483,161,16139,25,2343
9,District - Ghaziabad,4681645,3414427,1186776,19026,23001,3487,16412,265,18251
10,District - Gautam Buddha Nagar,1648115,1394025,215500,7366,9261,895,4518,91,16459
11,District - Bulandshahr ,3499171,2707195,777407,4088,2765,669,1572,86,5389
12,District - Aligarh,3673889,2904140,729283,7635,5875,2582,2805,91,21478
13,District - Mahamaya Nagar,1564708,1397225,159448,1350,524,424,1289,63,4385
14,District - Mathura,2547184,2310776,216933,3179,2872,883,2056,126,10359
15,District - Agra,4418797,3922718,411313,10076,12057,4049,21508,384,36692
16,District - Firozabad,2498156,2140745,314812,3370,1804,3395,19077,61,14892
17,District - Mainpuri,1868529,1746649,100723,1729,475,8814,4161,38,5940
18,District - Budaun,3681896,2867707,790515,6320,1135,1959,678,87,13495
19,District - Bareilly,4448359,2830768,1536534,14822,28187,4371,931,339,32407
20,District - Pilibhit,2031007,1449007,489686,3510,84787,360,138,45,3474
21,District - Shahjahanpur,3006538,2412595,527581,4630,51090,2312,301,84,7945
22,District - Kheri,4021243,3078262,807600,7502,94388,18454,487,226,14324
23,District - Sitapur,4483992,3555450,893725,6579,11611,2663,1410,79,12475
24,District - Hardoi,4092845,3508131,556219,5822,5688,6671,446,98,9770
25,District - Unnao,3108367,2732016,363453,3574,1204,920,240,31,6929
26,District - Lucknow,4589838,3537787,985070,20493,23883,3877,4975,504,13249
27,District - Rae Bareli,3405559,2975998,413243,3634,2424,722,397,602,8539
28,District - Farrukhabad,1885204,1596278,276846,3137,3160,3161,487,100,2035
29,District - Kannauj,1656616,1375788,273967,1263,504,2033,606,65,2390
30,District - Etawah,1581810,1457892,113961,1362,1045,1733,3917,94,1806
31,District - Auraiya,1379545,1273546,101963,1004,371,332,228,444,1657
32,District - Kanpur Dehat,1796184,1612968,176327,1300,478,819,155,103,4034
33,District - Kanpur Nagar,4581268,3792174,720660,15751,29676,2733,5710,589,13975
34,District - Jalaun ,1689974,1509708,171581,1148,463,2875,256,145,3798
35,District - Jhansi,1998603,1823930,147842,7050,4951,1203,7328,311,5988
36,District - Lalitpur,1221592,1163804,33724,1351,1034,69,20390,41,1179
37,District - Hamirpur,1104285,1010014,91269,814,196,74,41,273,1604
38,District - Mahoba,875958,815142,57454,965,389,94,234,157,1523
39,District - Banda,1799410,1637549,157612,1367,231,168,916,50,1517
40,District - Chitrakoot,991730,955372,34559,693,63,101,285,27,630
41,District - Fatehpur,2632733,2274674,350700,2201,402,172,199,47,4338
42,District - Pratapgarh,3209141,2731351,452394,3920,1451,7795,746,43,11441
43,District - Kaushambi,1599596,1372381,220423,2225,522,687,545,3,2810
44,District - Allahabad ,5954391,5102041,796756,13782,4377,4391,2247,305,30492
45,District - Bara Banki,3260699,2505444,737106,4857,2090,1553,3016,211,6422
46,District - Faizabad,2470996,2094271,365806,3225,1912,737,358,185,4502
47,District - Ambedkar Nagar,2397888,1985654,401678,2536,869,1817,235,33,5066
48,District - Sultanpur,3797117,3119590,650261,4453,1629,9989,426,336,10433
49,District - Bahraich,3487731,2291892,1169330,6400,8212,2793,1177,38,7889
50,District - Shrawasti,1117361,768643,343981,1427,407,323,68,56,2456
51,District - Balrampur,2148665,1333242,805975,3228,900,1866,198,87,3169
52,District - Gonda,3433919,2739076,678615,4735,1893,649,338,57,8556
53,District - Siddharthnagar,2559297,1789704,748073,3042,681,11964,179,356,5298
54,District - Basti,2464464,2082976,364510,3493,900,9753,107,99,2626
55,District - Sant Kabir Nagar,1715183,1300586,404410,1766,447,4393,95,35,3451
56,District - Mahrajganj,2684703,2196884,458650,3527,1381,16030,243,338,7650
57,District - Gorakhpur,4440895,4009037,403847,9662,2123,2848,460,207,12711
58,District - Kushinagar,3564544,2928462,620244,5006,767,4619,383,133,4930
59,District - Deoria,3100946,2730957,358539,3626,818,1182,209,146,5469
60,District - Azamgarh,4613913,3878626,718692,3810,719,5652,183,226,6005
61,District - Mau,2205968,1769937,428555,2109,340,564,155,129,4179
62,District - Ballia,3239774,3004240,213440,4463,892,1595,233,64,14847
63,District - Jaunpur,4494204,3981502,483750,4947,1286,7898,349,114,14358
64,District - Ghazipur,3620268,3233790,368153,4181,810,3145,213,184,9792
65,District - Chandauli,1952756,1727869,215081,2153,1389,340,100,1175,4649
66,District - Varanasi,3676841,3107681,546987,7696,3309,1146,1898,298,7826
67,District - Sant Ravidas Nagar (Bhadohi),1578213,1368291,203887,1365,199,1562,161,7,2741
68,District - Mirzapur,2496970,2292534,195765,2373,1133,341,701,27,4096
69,District - Sonbhadra,1862559,1738769,103567,3963,1649,1747,487,1907,10470
70,District - Etah,1774480,1611126,146346,2464,708,2887,5671,18,5260
71,District - Kanshiram Nagar,1436719,1211427,213822,1969,2280,3907,313,72,2929
