,Entity,Total,Hindu,Muslim,Christian,Sikh,Buddhist,Jain,Other/Unclassified,Unstated
0,State - UTTARAKHAND,10086292,8368636,1406825,37781,236340,14926,9183,993,11608
1,District - Uttarkashi,330086,324859,3554,353,167,563,74,105,411
2,District - Chamoli,391605,385818,4395,428,323,190,11,23,417
3,District - Rudraprayag,242285,240170,1486,171,38,9,4,44,363
4,District - Tehri Garhwal,618931,609835,7374,656,290,32,91,109,544
5,District - Dehradun,1696694,1424916,202057,13416,36454,11778,5117,217,2739
6,District - Garhwal,687271,660507,22931,2161,619,58,212,51,732
7,District - Pithoragarh,483439,475105,6015,1401,260,185,13,30,430
8,District - Bageshwar,259898,257509,1440,397,46,102,7,16,381
9,District - Almora,622506,611250,7752,1895,256,201,31,6,1115
10,District - Champawat,259648,249563,8693,870,336,24,28,6,128
11,District - Nainital,954605,809717,120742,5091,17419,570,356,181,529
12,District - Udham Singh Nagar,1648902,1104452,372267,6064,162768,505,738,159,1949
13,District - Hardwar,1890422,1214935,648119,4878,17364,709,2501,46,1870
