,Entity,Total,Hindu,Muslim,Christian,Sikh,Buddhist,Jain,Other/Unclassified,Unstated
0,State - WEST BENGAL,91276115,64385546,24654825,658618,63523,282898,60141,942297,228267
1,District - Darjiling ,1846823,1366681,105086,141848,2032,209240,1840,15523,4573
2,District - Jalpaiguri ,3872846,3156781,445817,186279,2994,50676,1461,23816,5022
3,District - Koch Bihar ,2819086,2087766,720033,4122,449,445,1869,158,4244
4,District - Uttar Dinajpur,3007134,1482943,1501170,16702,477,432,1324,1622,2464
5,District - Dakshin Dinajpur,1676276,1232850,412788,24794,276,148,323,2786,2311
6,District - Maldah ,3988845,1914352,2045151,13209,747,359,639,7929,6459
7,District - Murshidabad ,7103807,2359061,4707573,18102,766,348,3037,7429,7491
8,District - Birbhum,3502404,2181515,1298054,10906,582,258,1152,6051,3886
9,District - Barddhaman ,7717563,6008472,1599764,21220,16675,1602,1674,44968,23188
10,District - Nadia ,5167600,3728482,1382682,33835,849,514,281,16893,4064
11,District - North Twenty Four Parganas,10009781,7352769,2584684,26933,9394,5818,4452,2930,22801
12,District - Hugli ,5519145,4574569,870204,7300,2662,1730,2160,49050,11470
13,District - Bankura ,3596674,3033581,290450,3865,386,260,2904,260694,4534
14,District - Puruliya,2930115,2373120,227249,8646,622,209,3052,309029,8188
15,District - Haora ,4850029,3535844,1270641,8666,4380,1258,9699,1265,18276
16,District - Kolkata,4496694,3440290,926414,39758,13849,4771,21178,1452,48982
17,District - South Twenty Four Parganas,8161961,5155545,2903075,66498,2783,2494,972,6065,24529
18,District - Paschim Medinipur,5913457,5056953,620554,23287,2854,2019,1550,184278,21962
19,District - Purba Medinipur,5095875,4343972,743436,2648,746,317,574,359,3823
