,State,District,Total,Hindu,Muslim,Christian,Sikh,Buddhist,Jain,Other/Unclassified,Unstated
0,Andaman & Nicobar Islands,Nicobars,36842,8681,1336,26077,343,119,0,248,38
1,Andaman & Nicobar Islands,North  & Middle Andaman,105597,81163,2165,21870,77,84,4,47,187
2,Andaman & Nicobar Islands,South Andaman,238142,174452,28912,33037,866,135,27,269,444
3,Telangana,Adilabad,2741239,2399901,275970,15422,1377,25510,617,322,22120
4,Telangana,Nizamabad,2551335,2123426,391596,19653,2357,1847,542,146,11768
5,Telangana,Karimnagar,3776269,3491139,244723,24979,2086,332,312,115,12583
6,Telangana,Medak,3033288,2637313,342449,34301,1309,554,457,217,16688
7,Telangana,Hyderabad,3943323,2046051,1713405,87522,11446,1268,19560,1929,62142
8,Andhra Pradesh,Rangareddy,5296741,4458858,617518,144037,8062,2041,3536,1629,61060
9,Telangana,Mahbubnagar,4053028,3673456,334172,21345,658,290,388,267,22452
10,Telangana,Nalgonda,3488809,3249231,188646,35025,937,241,250,132,14347
11,Telangana,Warangal,3512576,3273755,197333,31377,1453,253,569,126,7710
12,Telangana,Khammam,2797370,2595321,158887,33463,655,217,459,539,7829
13,Andhra Pradesh,Srikakulam,2703114,2666950,9025,18879,193,77,160,106,7724
14,Andhra Pradesh,Vizianagaram,2344474,2299129,16423,17853,380,114,815,183,9577
15,Andhra Pradesh,Visakhapatnam,4290589,4105320,86330,77607,2301,850,2316,286,15579
16,Andhra Pradesh,East Godavari,5154296,4983330,77777,77825,738,413,4149,403,9661
17,Andhra Pradesh,West Godavari,3936966,3733191,86142,109120,288,209,1578,211,6227
18,Andhra Pradesh,Krishna,4517398,4023678,307043,145598,1393,863,6320,906,31597
19,Andhra Pradesh,Guntur,4887813,4217597,559770,89763,764,323,3282,332,15982
20,Andhra Pradesh,Prakasam,3397448,3150195,220654,18775,266,97,204,206,7051
21,Andhra Pradesh,Sri Potti Sriramulu Nellore,2963557,2639737,288378,26202,678,239,2610,146,5567
22,Andhra Pradesh,Y.S.R.,2882469,2391231,454108,23281,367,105,751,245,12381
23,Andhra Pradesh,Kurnool,4053463,3328380,670737,33165,737,255,2235,434,17520
24,Andhra Pradesh,Anantapur,4081148,3599372,443456,20463,932,341,1417,309,14858
25,Andhra Pradesh,Chittoor,4174064,3737588,397870,24129,867,253,1322,358,11677
26,Arunachal Pradesh,Tawang,49977,11842,787,776,1164,34920,72,349,67
27,Arunachal Pradesh,West Kameng,83947,31265,1970,8466,328,36087,71,5556,204
28,Arunachal Pradesh,East Kameng,78690,12333,652,37136,36,452,23,27868,190
29,Arunachal Pradesh,Papum Pare,176573,57027,6148,84397,310,4768,139,22586,1198
30,Arunachal Pradesh,Upper Subansiri,83448,13474,521,8779,28,297,11,59449,889
31,Arunachal Pradesh,West Siang,112274,15881,2218,29969,577,3311,49,60005,264
32,Arunachal Pradesh,East Siang,99214,27854,2289,18254,69,776,30,49393,549
33,Arunachal Pradesh,Upper Siang,35320,5261,411,5643,27,2577,7,20967,427
34,Arunachal Pradesh,Changlang,148226,47683,2134,35969,94,50381,95,11738,132
35,Arunachal Pradesh,Tirap,111975,20682,1103,83361,61,778,43,5325,622
36,Arunachal Pradesh,Lower Subansiri,83030,9551,1482,34402,27,193,13,37085,277
37,Arunachal Pradesh,Kurung Kumey,92076,4859,471,51189,43,121,81,34158,1154
38,Arunachal Pradesh,Dibang Valley,8004,3141,111,223,7,126,2,4267,127
39,Arunachal Pradesh,Lower Dibang Valley,54080,28915,2247,9213,33,2932,19,10393,328
40,Arunachal Pradesh,Lohit,145726,99020,3846,10684,210,24452,104,7277,133
41,Arunachal Pradesh,Anjaw,21167,13088,655,271,273,644,12,6137,87
42,Assam,Kokrajhar,887142,529068,252271,101091,93,1718,396,123,2382
43,Assam,Dhubri,1949258,388380,1553023,4107,254,101,1846,45,1502
44,Assam,Goalpara,1008183,347878,579929,77862,771,194,477,103,969
45,Assam,Barpeta,1693622,492966,1198036,1020,112,49,399,14,1026
46,Assam,Morigaon,957423,451882,503257,834,113,65,244,11,1017
47,Assam,Nagaon,2823768,1225246,1563203,26844,3036,1073,1162,61,3143
48,Assam,Sonitpur,1924110,1422824,350536,138166,1363,5088,1003,221,4909
49,Assam,Lakhimpur,1042137,797130,193476,46217,412,1074,250,2410,1168
50,Assam,Dhemaji,686133,655052,13475,8711,297,911,167,6315,1205
51,Assam,Tinsukia,1327929,1181347,48373,76877,1999,16228,837,395,1873
52,Assam,Dibrugarh,1326335,1198401,64526,52968,2261,4673,1055,46,2405
53,Assam,Sivasagar,1151050,1007277,95553,33147,902,3953,286,8541,1391
54,Assam,Jorhat,1092256,1008219,54684,21051,1540,2378,719,578,3087
55,Assam,Golaghat,1066888,917426,90312,50582,1131,3863,530,1347,1697
